LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
AV EDGAR PIRES DE CASTRO;Logradouro;COLISAO;DOMINGO;CHUVOSO;NOITE;SUL;-51,126565;-30,198121;2014
AV FRANCISCO SILVEIRA BITENCOURT;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;NOITE;NORTE;-51,126211;-29992866;2014
ESTR AFONSO LOURENCO MARIANTE;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;LESTE;-51,12611;-30,097469;2014
ESTR JOAO ANTONIO SILVEIRA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,126102;-30,141656;2014
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;COLISAO;TERCA-FEIRA;BOM;DIA;LESTE;-51,125908;-30,098507;2014
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,125772;-30,098982;2014
AV PROTASIO ALVES;Logradouro;QUEDA;QUARTA-FEIRA;BOM;DIA;LESTE;-51,12527;-30,03871;2014
AV PROTASIO ALVES;Cruzamento;CHOQUE;SABADO;BOM;NOITE;NORTE;-51,122363;-30,037871;2014
AV MANOEL ELIAS;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,121188;-30,031189;2014
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ABALROAMENTO;DOMINGO;BOM;NOITE;NORTE;-51,118774;-30,014204;2014
AV DANTE ANGELO PILLA;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-51,118713;-30,011374;2014
AV DANTE ANGELO PILLA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;NORTE;-51,118609;-30,010134;2014
AV FRANCISCO SILVEIRA BITENCOURT;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-51,118207;-29991746;2014
AV ASSIS BRASIL;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;DIA;NORTE;-51,115286;-29964377;2014
AV MARTIM FELIX BERTA;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;NORTE;-51,113549;-30,032472;2014
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-51,111915;-29959905;2014
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;DOMINGO;CHUVOSO;NOITE;LESTE;-51,111044;-30,038175;2014
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-51,109964;-30,014894;2014
AV MARTIM FELIX BERTA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-51,106541;-30,028755;2014
R REV OLAVO NUNES;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;NORTE;-51,105075;-30,014201;2014
AV PROTASIO ALVES;Logradouro;COLISAO;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,103061;-30,043145;2014
ESTR OTAVIANO JOSE PINTO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;SUL;-51,098376;-30,227646;2014
ESTR DO VAREJAO;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;SUL;-51,060565;-30,230819;2014
AV TERESOPOLIS;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;SUL;-51,211136;-30,080443;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;LESTE;-51,131896;-30,086514;2013
AV SERTORIO;Logradouro;CHOQUE;DOMINGO;BOM;DIA;NORTE;-51,186715;-30,001914;2013
AV CRISTOVAO COLOMBO;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-51,180272;-30,016269;2013
AV PROTASIO ALVES;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-51,126289;-30,038958;2013
AV BENTO GONCALVES;Logradouro;CHOQUE;TERCA-FEIRA;BOM;NOITE;LESTE;-51,172805;-30,060782;2013
AV PRAIA DE BELAS;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-51,228079;-30,040048;2013
R TREZE DE SETEMBRO;Logradouro;QUEDA;SABADO;BOM;NOITE;NORTE;-51,093996;-30,015971;2013
