LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-29,986186;-51,121282;2011
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-30,042919;-51,103153;2011
AV SERTORIO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;NOITE;NORTE;-30,000046;-51,194567;2011
AV BENTO GONCALVES;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;LESTE;-30,060857;-51,167584;2011
AV PROF OSCAR PEREIRA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;NUBLADO;DIA;SUL;-30,098272;-51,173063;2011
AV JUCA BATISTA;Logradouro;COLISAO;SABADO;BOM;NOITE;SUL;-30,187903;-51,174526;2011
AV JUCA BATISTA;Logradouro;COLISAO;DOMINGO;CHUVOSO;NOITE;SUL;-30,183809;-51,174744;2011
R DONA MARGARIDA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;NUBLADO;DIA;NORTE;-29,99821;-51,197003;2011
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,039034;-51,162566;2011
AV FARRAPOS;Cruzamento;COLISAO;SABADO;BOM;DIA;CENTRO;-30,025665;-51,217212;2011
ESTR COSTA GAMA;Logradouro;COLISAO;QUINTA-FEIRA;BOM;DIA;SUL;-30,125401;-51,173937;2011
AV INDEPENDENCIA;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;CENTRO;-30,028486;-51,21722;2011
AV ANTONIO CARVALHO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,047101;-51,143828;2011
R FREDERICO MENTZ;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-29,981612;-51,197578;2011
AV ANTONIO CARVALHO;Logradouro;CHOQUE;SABADO;BOM;DIA;LESTE;-30,048525;-51,144227;2011
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-29,992191;-51,128218;2011
BC DOMIENCE SILVA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-30,183417;-51,216551;2011
ESTR JOAO ANTONIO SILVEIRA;Logradouro;QUEDA;QUARTA-FEIRA;CHUVOSO;NOITE;SUL;-30,148608;-51,132133;2011
R CURUPAITI;Logradouro;CHOQUE;DOMINGO;CHUVOSO;NOITE;SUL;-30,082634;-51,238661;2011
AV NILOPOLIS;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,036811;-51,188139;2011
R ADHERBAL BARBOSA FARIA;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;NORTE;-29,978607;-51,137436;2011
AV SERTORIO;Logradouro;CHOQUE;SABADO;BOM;NOITE;NORTE;-30,002318;-51,178714;2011
R VINTE QUATRO DE OUTUBRO;Cruzamento;ATROPELAMENTO;SABADO;BOM;DIA;LESTE;-30,023724;-51,20075;2011
AV OSVALDO ARANHA;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;CENTRO;-30,032057;-51,21751;2011
AV FARRAPOS;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;NORTE;-30,008368;-51,202101;2011
R GEN VASCO ALVES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;CENTRO;-30,033569;-51,238107;2011
R CAPITAO ANDRE LAGO PARIS;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;LESTE;-30,069939;-51,183799;2011
AV BENTO GONCALVES;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;LESTE;-30,061576;-51,177607;2011
R CAIRU;Cruzamento;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-30,004665;-51,196876;2011
AV BENTO GONCALVES;Logradouro;CHOQUE;SABADO;BOM;DIA;LESTE;-30,061357;-51,163378;2011
AV BENTO GONCALVES;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-30,063798;-51,183069;2011
ESTR COSTA GAMA;Logradouro;COLISAO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-30,137182;-51,168666;2011
AV ECON NILO WULFF;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-30,150373;-51,143705;2011
AV BENTO GONCALVES;Logradouro;QUEDA;QUARTA-FEIRA;BOM;NOITE;LESTE;-30,075964;-51,125475;2011
AV JOAO PESSOA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;NUBLADO;NOITE;CENTRO;-30,040743;-51,216034;2011
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ABALROAMENTO;DOMINGO;NUBLADO;NOITE;NORTE;-30,008803;-51,141311;2011
AV PRAIA DE BELAS;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;CHUVOSO;DIA;CENTRO;-30,040501;-51,22794;2011
AV DA CAVALHADA;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;SUL;-30,10292;-51,230245;2011
AV ECOVILLE;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-30,001213;-51,123278;2011
AV PLINIO BRASIL MILANO;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-30,01342;-51,171863;2011
AV BERNARDINO SILVEIRA DE AMORIM;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-30,001282;-51,103291;2011
AV PROF OSCAR PEREIRA;Logradouro;CHOQUE;DOMINGO;BOM;DIA;SUL;-30,067119;-51,205307;2011
R VOLUNTARIOS DA PATRIA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;CENTRO;-30,024257;-51,217431;2011
AV A J RENNER;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-29,97468;-51,178856;2011
AV ANTONIO CARVALHO;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-30,051202;-51,146165;2011
AV EDGAR PIRES DE CASTRO;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;SUL;-30,202471;-51,117216;2011
AV BRASILIA;Logradouro;COLISAO;DOMINGO;BOM;DIA;NORTE;-30,020491;-51,148082;2011
ESTR CHAPEU DO SOL;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-30,177552;-51,166953;2011
R VINTE QUATRO DE OUTUBRO;Cruzamento;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,023724;-51,20075;2011
AV BENJAMIN CONSTANT;Logradouro;CHOQUE;DOMINGO;BOM;DIA;NORTE;-30,006171;-51,190938;2011
AV IPIRANGA;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-30,062915;-51,150089;2011
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,069514;-51,141541;2011
AV MAURICIO SELIGMAN;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;NORTE;-30,009221;-51,094985;2011
R LIBERAL;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;;SUL;-30,114065;-51,244384;2011
R DONA LAURA;Cruzamento;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,028725;-51,202929;2011
AV DR NILO PECANHA;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;LESTE;-30,033825;-51,185182;2011
AV JUCA BATISTA;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;SUL;-30,144772;-51,212379;2011
AV JUCA BATISTA;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;SUL;-30,183809;-51,174744;2011
AV DA CAVALHADA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-30,109522;-51,22688;2011
AV JUCA BATISTA;Cruzamento;CHOQUE;QUARTA-FEIRA;BOM;NOITE;SUL;-30,137993;-51,220541;2011
AV BENTO GONCALVES;Logradouro;COLISAO;TERCA-FEIRA;BOM;NOITE;LESTE;-30,073017;-51,137065;2011
AV PROF OSCAR PEREIRA;Logradouro;COLISAO;TERCA-FEIRA;BOM;NOITE;SUL;-30,103478;-51,172383;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-30,124577;-51,101872;2011
LG VESPASIANO JULIO VEPPO;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;CENTRO;-30,022455;-51,218339;2011
AV FARRAPOS;Cruzamento;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;CENTRO;-30,021373;-51,212243;2011
ESTR CRISTIANO KRAEMER;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-30,128956;-51,200941;2011
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;NORTE;-30,007307;-51,183912;2011
AV PLINIO BRASIL MILANO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,017654;-51,175328;2011
AV DA AZENHA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-30,05549;-51,215079;2011
R DA CONCEICAO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;CENTRO;-30,023968;-51,219995;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,110157;-51,110144;2011
ESTR COSTA GAMA;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-30,137835;-51,167887;2011
AV ASSIS BRASIL;Logradouro;ABALROAMENTO;SABADO;BOM;DIA;NORTE;-29,969393;-51,115;2011
AV BENTO GONCALVES;Logradouro;CHOQUE;DOMINGO;BOM;DIA;LESTE;-30,056263;-51,19659;2011
ESTR CRISTIANO KRAEMER;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;SUL;-30,127893;-51,201751;2011
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;LESTE;-30,07411;-51,13502;2011
AV PLINIO BRASIL MILANO;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;NORTE;-30,015551;-51,171959;2011
AV WENCESLAU ESCOBAR;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;SUL;-30,113484;-51,254625;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;LESTE;-30,082716;-51,131736;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ABALROAMENTO;SABADO;NUBLADO;DIA;LESTE;-30,138262;-51,091637;2011
AV IPIRANGA;Logradouro;TOMBAMENTO;DOMINGO;BOM;NOITE;LESTE;-30,061248;-51,151256;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;DOMINGO;BOM;DIA;LESTE;-30,123857;-51,107745;2011
AV ERICO VERISSIMO;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-30,043666;-51,219938;2011
R SENHOR DO BOM FIM;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-29,987825;-51,121351;2011
